tick,phase,max_abs_diff,rmse_all,state_rmse_l0,state_rmse_l1,state_rmse_l2,weight_rmse_l0,weight_rmse_l1,error_rmse_l0,error_rmse_l1
0,infer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,infer,4.768371586472142e-08,8.130006853036304e-09,0.0,1.1641532139325395e-11,3.769728732309794e-08,0.0,0.0,1.4567611546341556e-12,0.0
2,infer,4.768371586472142e-08,8.130009992081902e-09,0.0,2.3345818270094835e-11,3.769728732309794e-08,0.0,0.0,2.6468668447403432e-12,1.1641532139325395e-11
3,infer,4.768371586472142e-08,8.130016884705271e-09,0.0,3.6562067519548044e-11,3.769728732309794e-08,0.0,0.0,3.42403470162235e-12,2.3345818270094835e-11
4,infer,4.768371586472142e-08,8.13002488400943e-09,0.0,4.386594548627965e-11,3.769728732309794e-08,0.0,0.0,6.0927311772256295e-12,3.6562067519548044e-11
5,infer,4.768371586472142e-08,8.13002929232051e-09,0.0,4.607785513053111e-11,3.769728732309794e-08,0.0,0.0,4.001729685398562e-12,4.386594548627965e-11
6,infer,4.768371586472142e-08,8.130037436877748e-09,0.0,5.788514630819614e-11,3.769728732309794e-08,0.0,0.0,3.4976402639923903e-12,4.607785513053111e-11
7,infer,4.768371586472142e-08,8.130041041332161e-09,0.0,5.2453890939544646e-11,3.769728732309794e-08,0.0,0.0,3.825671923854058e-12,5.788514630819614e-11
8,infer,4.768371586472142e-08,8.130036328809687e-09,0.0,5.021423856691325e-11,3.769728732309794e-08,0.0,0.0,4.685857753824913e-12,5.2453890939544646e-11
9,infer,4.768371586472142e-08,8.13003457273773e-09,0.0,4.95310358446937e-11,3.769728732309794e-08,0.0,0.0,3.1835355404745607e-12,5.021423856691325e-11
10,infer,4.768371586472142e-08,8.130034069075267e-09,0.0,4.935467310153498e-11,3.769728732309794e-08,0.0,0.0,2.6202086250682596e-12,4.95310358446937e-11
11,infer,4.768371586472142e-08,8.130044740718629e-09,0.0,6.568625998691856e-11,3.769728732309794e-08,0.0,0.0,3.49224342625455e-12,4.935467310153498e-11
12,infer,4.768371586472142e-08,8.13005339618507e-09,0.0,6.282906267877375e-11,3.769728732309794e-08,0.0,0.0,3.738243986988461e-12,6.568625998691856e-11
13,infer,4.768371586472142e-08,8.130052163048943e-09,0.0,6.394825623509671e-11,3.769728732309794e-08,0.0,0.0,5.19470212298381e-12,6.282906267877375e-11
14,infer,4.768371586472142e-08,8.130052442226557e-09,0.0,6.328839284750844e-11,3.769728732309794e-08,0.0,0.0,3.848516694483871e-12,6.394825623509671e-11
15,infer,4.768371586472142e-08,8.130050547318882e-09,0.0,6.12792898419625e-11,3.769728732309794e-08,0.0,0.0,4.338039135977702e-12,6.328839284750844e-11
16,infer,4.768371586472142e-08,8.130060748260822e-09,0.0,7.601622684336834e-11,3.769728732309794e-08,0.0,0.0,5.6749407519513955e-12,6.12792898419625e-11
17,infer,4.768371586472142e-08,8.130082694345275e-09,0.0,8.697981284790946e-11,3.769728732309794e-08,0.0,0.0,8.158178536984274e-12,7.601622684336834e-11
18,infer,4.768371586472142e-08,8.130096285375802e-09,0.0,9.024484468439084e-11,3.769728732309794e-08,0.0,0.0,8.938455480623106e-12,8.697981284790946e-11
19,infer,4.768371586472142e-08,8.130100682492788e-09,0.0,9.131281556227977e-11,3.769728732309794e-08,0.0,0.0,8.639669823314975e-12,9.024484468439084e-11
20,infer,4.768371586472142e-08,8.130106981271648e-09,0.0,9.610150699042104e-11,3.769728732309794e-08,0.0,0.0,9.354099248345975e-12,9.131281556227977e-11
21,infer,4.768371586472142e-08,8.130102014446971e-09,0.0,8.652926815331017e-11,3.769728732309794e-08,0.0,0.0,8.012751506749878e-12,9.610150699042104e-11
22,infer,4.768371586472142e-08,8.130092781359204e-09,0.0,8.729524799842975e-11,3.769728732309794e-08,0.0,0.0,8.105599013209584e-12,8.652926815331017e-11
23,infer,4.768371586472142e-08,8.130080703705981e-09,0.0,7.345246362287681e-11,3.769728732309794e-08,0.0,0.0,6.344495444172139e-12,8.729524799842975e-11
24,infer,4.768371586472142e-08,8.130063686410535e-09,0.0,6.813970806285497e-11,3.769728732309794e-08,0.0,0.0,6.63981962731908e-12,7.345246362287681e-11
25,infer,4.768371586472142e-08,8.13005671708415e-09,0.0,6.472134431550727e-11,3.769728732309794e-08,0.0,0.0,5.324782320893607e-12,6.813970806285497e-11
26,infer,4.768371586472142e-08,8.130052677353895e-09,0.0,6.27010766430422e-11,3.769728732309794e-08,0.0,0.0,5.969967274890965e-12,6.472134431550727e-11
27,infer,4.768371586472142e-08,8.130046237029786e-09,0.0,5.5431404447056766e-11,3.769728732309794e-08,0.0,0.0,4.788721759630597e-12,6.27010766430422e-11
28,infer,4.768371586472142e-08,8.130039069957892e-09,0.0,5.175467188567948e-11,3.769728732309794e-08,0.0,0.0,4.803184775450645e-12,5.5431404447056766e-11
29,infer,4.768371586472142e-08,8.130040264280326e-09,0.0,5.723715390290736e-11,3.769728732309794e-08,0.0,0.0,5.4911272165436186e-12,5.175467188567948e-11
30,infer,4.768371586472142e-08,8.13004389551487e-09,0.0,5.7640770146555414e-11,3.769728732309794e-08,0.0,0.0,4.231148744821002e-12,5.723715390290736e-11
31,infer,4.768371586472142e-08,8.130040736297303e-09,0.0,5.2214154713972707e-11,3.769728732309794e-08,0.0,0.0,3.826659194618646e-12,5.7640770146555414e-11
32,infer,4.768371586472142e-08,8.130035809236625e-09,0.0,4.964855961572357e-11,3.769728732309794e-08,0.0,0.0,3.1052162171649333e-12,5.2214154713972707e-11
33,infer,4.768371586472142e-08,8.130031136261036e-09,0.0,4.371802072581981e-11,3.769728732309794e-08,0.0,0.0,2.700187968929465e-12,4.964855961572357e-11
34,infer,4.768371586472142e-08,8.130023826435994e-09,0.0,3.446712898593863e-11,3.769728732309794e-08,0.0,0.0,2.5138457861267455e-12,4.371802072581981e-11
35,infer,4.768371586472142e-08,8.130018279628998e-09,0.0,3.072268123489754e-11,3.769728732309794e-08,0.0,0.0,1.849367358921889e-12,3.446712898593863e-11
36,infer,4.768371586472142e-08,8.130016564035791e-09,0.0,2.98033802977171e-11,3.769728732309794e-08,0.0,0.0,1.7995799207030096e-12,3.072268123489754e-11
37,infer,4.768371586472142e-08,8.130015312938169e-09,0.0,2.6925300251397374e-11,3.769728732309794e-08,0.0,0.0,1.881197117722432e-12,2.98033802977171e-11
38,infer,4.768371586472142e-08,8.130014414458538e-09,0.0,2.704046331351776e-11,3.769728732309794e-08,0.0,0.0,1.8828928101616403e-12,2.6925300251397374e-11
39,infer,4.768371586472142e-08,8.130014642631208e-09,0.0,2.7673188919878755e-11,3.769728732309794e-08,0.0,0.0,1.5094748267937405e-12,2.704046331351776e-11
40,infer,4.768371586472142e-08,8.130013684785022e-09,0.0,2.3751309525297143e-11,3.769728732309794e-08,0.0,0.0,1.338567225621958e-12,2.7673188919878755e-11
41,infer,4.768371586472142e-08,8.130011973022523e-09,0.0,2.1600195970491878e-11,3.769728732309794e-08,0.0,0.0,1.352894610562833e-12,2.3751309525297143e-11
42,infer,4.768371586472142e-08,8.130010322971523e-09,0.0,1.6606770025121512e-11,3.769728732309794e-08,0.0,0.0,1.3122887253922027e-12,2.1600195970491878e-11
43,infer,4.768371586472142e-08,8.130008793837842e-09,0.0,1.4130168271895703e-11,3.769728732309794e-08,0.0,0.0,1.1034193082326196e-12,1.6606770025121512e-11
44,infer,4.768371586472142e-08,8.130007944251891e-09,0.0,1.1295041736081343e-11,3.769728732309794e-08,0.0,0.0,9.066158943038414e-13,1.4130168271895703e-11
45,infer,4.768371586472142e-08,8.1300077019208e-09,0.0,1.2550632483843417e-11,3.769728732309794e-08,0.0,0.0,7.316100912021841e-13,1.1295041736081343e-11
46,infer,4.768371586472142e-08,8.130007997388649e-09,0.0,1.3376116416894331e-11,3.769728732309794e-08,0.0,0.0,9.697216829472676e-13,1.2550632483843417e-11
47,infer,4.768371586472142e-08,8.130008443207928e-09,0.0,1.5338597418726452e-11,3.769728732309794e-08,0.0,0.0,1.082056497568615e-12,1.3376116416894331e-11
48,infer,4.768371586472142e-08,8.130009111859206e-09,0.0,1.7210859680300955e-11,3.769728732309794e-08,0.0,0.0,7.848232458988974e-13,1.5338597418726452e-11
49,infer,4.768371586472142e-08,8.1300094340087e-09,0.0,1.7058826561833022e-11,3.769728732309794e-08,0.0,0.0,1.1782205841758034e-12,1.7210859680300955e-11
50,infer,4.768371586472142e-08,8.130009659717244e-09,0.0,1.833272305238377e-11,3.769728732309794e-08,0.0,0.0,9.083908811912815e-13,1.7058826561833022e-11
51,infer,4.768371586472142e-08,8.130009100607824e-09,0.0,1.3908629740108556e-11,3.769728732309794e-08,0.0,0.0,7.683916415431738e-13,1.833272305238377e-11
52,infer,4.768371586472142e-08,8.130008063728406e-09,0.0,1.2454372235009948e-11,3.769728732309794e-08,0.0,0.0,4.880390088998826e-13,1.3908629740108556e-11
53,infer,4.768371586472142e-08,8.130007648988342e-09,0.0,1.0990693550599024e-11,3.769728732309794e-08,0.0,0.0,6.72025466573392e-13,1.2454372235009948e-11
54,infer,4.768371586472142e-08,8.130007309810185e-09,0.0,9.796197327754124e-12,3.769728732309794e-08,0.0,0.0,5.137039382844295e-13,1.0990693550599024e-11
55,infer,4.768371586472142e-08,8.13000712172853e-09,0.0,9.374397992126951e-12,3.769728732309794e-08,0.0,0.0,5.635173071279048e-13,9.796197327754124e-12
56,infer,4.768371586472142e-08,8.130006928766057e-09,0.0,7.88879357842386e-12,3.769728732309794e-08,0.0,0.0,5.676585930173552e-13,9.374397992126951e-12
57,infer,4.768371586472142e-08,8.130006763717477e-09,0.0,7.67943633564161e-12,3.769728732309794e-08,0.0,0.0,6.299011953617509e-13,7.88879357842386e-12
58,infer,4.768371586472142e-08,8.13000663300319e-09,0.0,6.279036005119054e-12,3.769728732309794e-08,0.0,0.0,5.843857130275197e-13,7.67943633564161e-12
59,infer,4.768371586472142e-08,8.130006584839961e-09,0.0,7.118978676293935e-12,3.769728732309794e-08,0.0,0.0,4.184356806305974e-13,6.279036005119054e-12
60,infer,4.768371586472142e-08,8.13000662899589e-09,0.0,6.8637622595341305e-12,3.769728732309794e-08,0.0,0.0,4.684996587033149e-13,7.118978676293935e-12
61,infer,4.768371586472142e-08,8.130006675931754e-09,0.0,7.667112830529784e-12,3.769728732309794e-08,0.0,0.0,5.933163369878443e-13,6.8637622595341305e-12
62,infer,4.768371586472142e-08,8.130006739958524e-09,0.0,7.646562623128321e-12,3.769728732309794e-08,0.0,0.0,3.594421527330093e-13,7.667112830529784e-12
63,infer,4.768371586472142e-08,8.130006831582535e-09,0.0,8.639198628936122e-12,3.769728732309794e-08,0.0,0.0,5.901387452941433e-13,7.646562623128321e-12
64,infer,4.768371586472142e-08,8.130006953184322e-09,0.0,8.923912909954794e-12,3.769728732309794e-08,0.0,0.0,6.834213458650134e-13,8.639198628936122e-12
65,infer,4.768371586472142e-08,8.130006929825178e-09,0.0,8.388903457093103e-12,3.769728732309794e-08,0.0,0.0,8.400676561085942e-13,8.923912909954794e-12
66,infer,4.768371586472142e-08,8.130006910749362e-09,0.0,8.744709028319237e-12,3.769728732309794e-08,0.0,0.0,6.939844560296903e-13,8.388903457093103e-12
67,infer,4.768371586472142e-08,8.130006848211082e-09,0.0,7.718116224222033e-12,3.769728732309794e-08,0.0,0.0,5.588152182645408e-13,8.744709028319237e-12
68,infer,4.768371586472142e-08,8.130006825876735e-09,0.0,8.513842716187718e-12,3.769728732309794e-08,0.0,0.0,6.477536946717458e-13,7.718116224222033e-12
69,infer,4.768371586472142e-08,8.130006877353603e-09,0.0,8.271584047576478e-12,3.769728732309794e-08,0.0,0.0,7.855450245093209e-13,8.513842716187718e-12
70,infer,4.768371586472142e-08,8.130006846252505e-09,0.0,8.18897478580709e-12,3.769728732309794e-08,0.0,0.0,7.769165978494809e-13,8.271584047576478e-12
71,infer,4.768371586472142e-08,8.130006780465684e-09,0.0,7.543149204391291e-12,3.769728732309794e-08,0.0,0.0,7.945524952086572e-13,8.18897478580709e-12
72,infer,4.768371586472142e-08,8.130006757793688e-09,0.0,7.938795168262091e-12,3.769728732309794e-08,0.0,0.0,8.527363773924223e-13,7.543149204391291e-12
73,infer,4.768371586472142e-08,8.130006708927136e-09,0.0,6.969295753091074e-12,3.769728732309794e-08,0.0,0.0,6.650819787280074e-13,7.938795168262091e-12
74,infer,4.768371586472142e-08,8.13000662734456e-09,0.0,6.978372496316276e-12,3.769728732309794e-08,0.0,0.0,7.287417242899451e-13,6.969295753091074e-12
75,infer,4.768371586472142e-08,8.130006609859099e-09,0.0,6.750511861561323e-12,3.769728732309794e-08,0.0,0.0,6.768533536231581e-13,6.978372496316276e-12
76,infer,4.768371586472142e-08,8.13000657843131e-09,0.0,6.573230390614585e-12,3.769728732309794e-08,0.0,0.0,6.737929869549761e-13,6.750511861561323e-12
77,infer,4.768371586472142e-08,8.130006533866863e-09,0.0,6.1505182360169695e-12,3.769728732309794e-08,0.0,0.0,6.23308284443636e-13,6.573230390614585e-12
78,infer,4.768371586472142e-08,8.13000650079604e-09,0.0,6.109517977624174e-12,3.769728732309794e-08,0.0,0.0,7.228769921233602e-13,6.1505182360169695e-12
79,infer,4.768371586472142e-08,8.130006432375824e-09,0.0,5.103707542810429e-12,3.769728732309794e-08,0.0,0.0,5.334619618365944e-13,6.109517977624174e-12
80,infer,4.768371586472142e-08,8.130006327485476e-09,0.0,4.369550231498609e-12,3.769728732309794e-08,0.0,0.0,3.8704725960370184e-13,5.103707542810429e-12
81,infer,4.768371586472142e-08,8.130006289089272e-09,0.0,4.38539056065139e-12,3.769728732309794e-08,0.0,0.0,5.379770145875055e-13,4.369550231498609e-12
82,infer,4.768371586472142e-08,8.130006302382185e-09,0.0,4.628305165241753e-12,3.769728732309794e-08,0.0,0.0,5.321176214552638e-13,4.38539056065139e-12
83,infer,4.768371586472142e-08,8.130006265105129e-09,0.0,3.5819214862901403e-12,3.769728732309794e-08,0.0,0.0,3.6148316030398673e-13,4.628305165241753e-12
84,infer,4.768371586472142e-08,8.130006199474518e-09,0.0,3.1572465644301356e-12,3.769728732309794e-08,0.0,0.0,3.247441659273347e-13,3.5819214862901403e-12
85,infer,4.768371586472142e-08,8.130006170249479e-09,0.0,2.7755723540346686e-12,3.769728732309794e-08,0.0,0.0,3.5973881415013653e-13,3.1572465644301356e-12
86,infer,4.768371586472142e-08,8.13000616644888e-09,0.0,3.0544109356150758e-12,3.769728732309794e-08,0.0,0.0,3.0878825508647327e-13,2.7755723540346686e-12
87,infer,4.768371586472142e-08,8.13000618805508e-09,0.0,3.383025107178738e-12,3.769728732309794e-08,0.0,0.0,3.779137971040185e-13,3.0544109356150758e-12
88,infer,4.768371586472142e-08,8.130006187666801e-09,0.0,3.0509252361275925e-12,3.769728732309794e-08,0.0,0.0,2.840801381116414e-13,3.383025107178738e-12
89,infer,4.768371586472142e-08,8.130006190516845e-09,0.0,3.4547572486514167e-12,3.769728732309794e-08,0.0,0.0,3.015766213883774e-13,3.0509252361275925e-12
