alpha,gamma,label,final_mse,initial_mse,epochs_run
0.001,0.005,stagnated,0.09075606180166086,0.15345993552852613,15
0.001,0.01,stagnated,0.08016013409764557,0.15341240509856435,15
0.001,0.02,stagnated,0.05880471565883315,0.15334132718479251,15
0.001,0.04,stagnated,0.03945479810897972,0.1532911186422112,15
0.001,0.07,stagnated,0.0319004176948309,0.15328018059079834,15
0.001,0.1,stagnated,0.03010876416896458,0.15327943436394312,15
0.001,0.15,stagnated,0.0295553705590373,0.15327939175882752,15
0.001,0.2,stagnated,0.029534004027771066,0.15327939152810843,15
0.003,0.005,stagnated,0.0858347959986643,0.15345993552852613,15
0.003,0.01,stagnated,0.06882533208741118,0.15341240509856435,15
0.003,0.02,stagnated,0.042991348368604826,0.15334132718479251,15
0.003,0.04,stagnated,0.016771368760510705,0.1532911186422112,15
0.003,0.07,converged,0.005265380749850778,0.15328018059079834,15
0.003,0.1,converged,0.002846120253160476,0.15327943436394312,15
0.003,0.15,converged,0.0021715295628480934,0.15327939175882752,15
0.003,0.2,converged,0.0020863461428303337,0.15327939152810843,15
0.01,0.005,stagnated,0.0857462041452999,0.15345993552852613,15
0.01,0.01,stagnated,0.06963003715943006,0.15341240509856435,15
0.01,0.02,stagnated,0.04344360305665531,0.15334132718479251,15
0.01,0.04,stagnated,0.0160661285796961,0.1532911186422112,15
0.01,0.07,converged,0.0047047824882873015,0.15328018059079834,15
0.01,0.1,converged,0.002478230895594487,0.15327943436394312,15
0.01,0.15,converged,0.0019416156703785461,0.15327939175882752,15
0.01,0.2,converged,0.0018885414150869603,0.15327939152810843,15
0.03,0.005,stagnated,0.08736417171964596,0.15345993552852613,15
0.03,0.01,stagnated,0.07168515700413627,0.15341240509856435,15
0.03,0.02,stagnated,0.045783986401633545,0.15334132718479251,15
0.03,0.04,stagnated,0.01720097716312024,0.1532911186422112,15
0.03,0.07,converged,0.005502314485481631,0.15328018059079834,15
0.03,0.1,converged,0.0031422121608370617,0.15327943436394312,15
0.03,0.15,converged,0.002553190459526678,0.15327939175882752,15
0.03,0.2,converged,0.0024889080846067302,0.15327939152810843,15
0.05,0.005,stagnated,0.08844717205246325,0.15345993552852613,15
0.05,0.01,stagnated,0.07313655730376184,0.15341240509856435,15
0.05,0.02,stagnated,0.047595081832978586,0.15334132718479251,15
0.05,0.04,stagnated,0.01882015282792842,0.1532911186422112,15
0.05,0.07,converged,0.006935382770055441,0.15328018059079834,15
0.05,0.1,converged,0.00442114213202929,0.15327943436394312,15
0.05,0.15,converged,0.003885666995674541,0.15327939175882752,15
0.05,0.2,converged,0.003717883796487773,0.15327939152810843,15
0.1,0.005,stagnated,0.09008820833910607,0.15345993552852613,15
0.1,0.01,stagnated,0.0752494179798166,0.15341240509856435,15
0.1,0.02,stagnated,0.049254577758780185,0.15334132718479251,15
0.1,0.04,stagnated,0.01922415498925865,0.1532911186422112,15
0.1,0.07,converged,0.0088897007041026,0.15328018059079834,15
0.1,0.1,converged,0.005014806220984665,0.15327943436394312,15
0.1,0.15,converged,0.005572108025025988,0.15327939175882752,15
0.1,0.2,converged,0.004367394043928398,0.15327939152810843,15
0.15,0.005,stagnated,0.09066404970487602,0.15345993552852613,15
0.15,0.01,stagnated,0.07593047910070382,0.15341240509856435,15
0.15,0.02,stagnated,0.04934847470158763,0.15334132718479251,15
0.15,0.04,stagnated,0.01982723893973288,0.1532911186422112,15
0.15,0.07,converged,0.007507549779934189,0.15328018059079834,15
0.15,0.1,converged,0.0054466267119382804,0.15327943436394312,15
0.15,0.15,converged,0.004827938101386483,0.15327939175882752,15
0.15,0.2,converged,0.006059781363460418,0.15327939152810843,15
0.2,0.005,stagnated,0.09082206181489055,0.15345993552852613,15
0.2,0.01,stagnated,0.07611482596816385,0.15341240509856435,15
0.2,0.02,stagnated,0.04991749127896803,0.15334132718479251,15
0.2,0.04,stagnated,0.02170028681778839,0.1532911186422112,15
0.2,0.07,converged,0.00952206807558762,0.15328018059079834,15
0.2,0.1,converged,0.005580343897619475,0.15327943436394312,15
0.2,0.15,converged,0.004939153557975911,0.15327939175882752,15
0.2,0.2,converged,0.004982646908651903,0.15327939152810843,15
